# firmware/build/bom.csv — Phase D+ master Bill of Materials
# §A.6.1 Phase D+ deliverable per .roadmap.hexa_rtsc.
# Aggregates BOMs from doc/{synthesis_bench, 48t_rebco_coil, calorimetry_rig}_v0.md.
#
# Column key:
#   bench         — which Stage A bench this part serves
#   item          — short name
#   spec          — critical params
#   vendor        — primary supplier (alternates not listed)
#   pn            — manufacturer part number
#   unit_cost_usd — single-unit price (volume discount not applied)
#   qty           — quantity per build
#   subtotal_usd  — unit_cost × qty
#   lead_weeks    — typical lead time
#   note          — additional context

bench,item,spec,vendor,pn,unit_cost_usd,qty,subtotal_usd,lead_weeks,note
hc2-coil,T monitors,Cernox CX-1080 x16 + TC x16,Lake Shore,CX-1080-CU,22000,1,22000,8,T(z) profile
hc2-coil,LHe transfer,25m flex VJ,Wessington,N/A,18000,1,18000,12,operations
hc2-coil,LN2 supply,1000L dewar + 100L day,local vendor,N/A,8000,1,8000,2,operations
hc2-coil,Magnetic shielding,mu-metal 6x8m,MMT Industries,N/A,95000,1,95000,16,5-Gauss line
hc2-coil,DAQ + control,64-ch 16-bit 1MS/s NI,National Instruments,cDAQ,28000,1,28000,4,quench capture
calorimetry,Adiabatic cal,0.1-300K +/-0.1%,Quantum Design,PPMS HC option,90000,1,90000,12,relaxation method
calorimetry,Dilution fridge,10mK base BlueFors,BlueFors,LD-400,480000,1,480000,32,sub-K range
calorimetry,Sample mounts,sapphire + Pt RTD,custom,N/A,8000,1,8000,4,heat capacity carrier
calorimetry,Heat pulse gen,1nJ-10mJ 1ms-10s,Keithley,6221,12000,1,12000,8,programmable Q
calorimetry,mu-metal room,4x4m <1nT,MMT,N/A,65000,1,65000,16,Earth-field shielding
calorimetry,LHe + LN2 supply,100 LHe/wk + 200 LN2/wk,local,N/A,4000,1,4000,2,monthly operations
calorimetry,Vibration table,active piezo,Newport,S-2000A,28000,1,28000,8,SQUID + dilution stability
calorimetry,DAQ + control,NI cDAQ + LabVIEW,National Instruments,cDAQ-9189,18000,1,18000,4,
firmware,STM32F407VGT6,Cortex-M4F LQFP-100,ST,STM32F407VGT6,12,2,24,4,chamber + calorimetry MCUs
firmware,Artix-7 XC7A35T,33k LUT 50 BRAM,AMD/Xilinx,XC7A35T-1CSG324C,30,2,60,8,quench + cal FPGAs
firmware,Arty A7-35T board,dev board with PMOD/UART,Digilent,Arty A7-35T,129,2,258,2,FPGA carrier
firmware,AD5660 DAC,16-bit 1.25us,Analog Devices,AD5660BRMZ-1,13,2,26,2,heat-pulse driver
firmware,LTC2400 ADC,24-bit ΣΔ 7.5Hz,Linear Tech,LTC2400CS8,11,4,44,2,Pt-RTD readout
firmware,LTC2378-20 ADC,20-bit 1MS/s differential,Linear Tech,LTC2378-20,48,4,192,4,REBCO voltage tap
firmware,AD8429 diff amp,low-noise 1nV/sqrt(Hz),Analog Devices,AD8429,18,8,144,2,REBCO + Bitter taps
firmware,ISO224 isolator,reinforced 125V CMR,TI,ISO224,8,8,64,2,cryogen boundary
firmware,TLP358 opto,250ns 30kV/us,Toshiba,TLP358,4,2,8,2,IGBT gate driver
firmware,IGBT module,1.4kA 1.2kV,Infineon,FF1400R12IP4,1200,1,1200,16,dump switch
firmware,Cs ref,10MHz 5e-13,Microsemi,Cs5071A,50000,1,50000,52,frequency reference (calorimetry)
firmware,PCB + PCBA pilot,4-layer FR-4 ENIG 5 boards,PCBWay + JLCPCB,custom,3000,1,3000,4,5-board pilot run
firmware,Power supplies,linear regulators TPS7A,TI,TPS7A series,5,12,60,2,low-noise rails
TOTAL,,,,,,,7159990,,~7.2 M USD over 14-20 mo
